name,address,lon,lat,raw_keyword,raw_type,source,poi_id,category,classification_reason,is_urban_production,is_traditional_factory,is_industrial_space,distance_to_people_square_km,center_zone,is_inner_center,distance_to_central_core_km,distance_to_xujiahui_km,distance_to_wujiaochang_km,distance_to_zhangjiang_km,distance_to_hongqiao_km,distance_to_qiantan_km,nearest_center,nearest_center_label_zh,distance_to_nearest_center_km,nearest_center_zone,polycentric_centrality_score
特斯拉储能超级工厂上海宝冶项目部,芦五公路2751号,121.773149,30.861983,工厂,公司企业;公司;公司,amap,P00080,traditional_factory,命中传统制造关键词「工厂」,0,1,0,49.9203,outer,0,49.7219,48.4292,54.958,41.8785,56.8384,43.1281,zhangjiang,张江,41.8785,far_from_centers,0.0024
萝卜工厂,东方路800号宝安大厦F4层,121.524046,31.226341,工厂,公司企业;农林牧渔基地;其它农林牧渔基地,amap,P00081,traditional_factory,命中传统制造关键词「工厂」,0,1,0,4.8083,inner_center,1,3.6233,9.3034,8.6698,6.5601,19.6707,9.539,central_core,人民广场-外滩-陆家嘴核心区,3.6233,center_influence,1.5713
泰东机械4工厂,新润路588号甘氏工业园西北门3号库,121.292214,31.06201,工厂,公司企业;工厂;工厂,amap,P00082,industrial_space,命中产业/园区关键词「工业园」,0,0,1,25.4734,outer,0,26.8785,19.6784,34.2257,32.2121,15.02,19.948,hongqiao,虹桥,15.02,far_from_centers,0.1748
新泉(上海)汽车零部件有限公司-二期工厂,正嘉路97号,121.767523,30.858779,工厂,公司企业;公司;公司,amap,P00083,traditional_factory,命中传统制造关键词「工厂」,0,1,0,49.9108,outer,0,49.7316,48.3461,55.0405,41.9801,56.6676,43.0445,zhangjiang,张江,41.9801,far_from_centers,0.0024
维盾门窗(上海总部)工厂,华腾路1669号1栋,121.210464,31.234169,工厂,公司企业;工厂;工厂,amap,P00085,traditional_factory,命中传统制造关键词「工厂」,0,1,0,25.0319,outer,0,26.3694,22.1157,29.937,36.026,11.3387,26.5938,hongqiao,虹桥,11.3387,far_from_centers,0.2097
大连实德集团(实德系统门窗)工厂直营,沪太公路6285号5号楼,121.362679,31.378752,工厂,购物服务;家居建材市场;家居建材市场,amap,P00086,traditional_factory,命中传统制造关键词「工厂」,0,1,0,19.5799,outer,0,19.7953,22.2969,16.6648,28.9301,20.8326,27.2734,wujiaochang,五角场,16.6648,far_from_centers,0.1732
自然堂发酵工厂,远东路1515弄20号2幢厂房,121.463171,30.950398,工厂,公司企业;工厂;工厂,amap,P00087,traditional_factory,命中传统制造关键词「工厂」,0,1,0,31.151,outer,0,31.8884,26.5946,39.6125,30.5265,30.3939,22.4819,qiantan,前滩,22.4819,far_from_centers,0.0542
上海策雨充气帐篷工厂,港鼎路1688号,121.747225,30.912075,工厂,公司企业;公司;公司,amap,P00089,traditional_factory,命中传统制造关键词「工厂」,0,1,0,43.9492,outer,0,43.7151,42.6528,48.8705,35.7849,51.3945,37.3605,zhangjiang,张江,35.7849,far_from_centers,0.0065
特斯拉储能超级工厂,沧海路3888号,121.772366,30.859712,工厂,公司企业;工厂;工厂,amap,P00090,traditional_factory,命中传统制造关键词「工厂」,0,1,0,50.0855,outer,0,49.8931,48.5699,55.1509,42.0763,56.9471,43.2686,zhangjiang,张江,42.0763,far_from_centers,0.0024
上海金发科技发展有限公司二期工厂,沈砖公路999号,121.065187,31.079185,工厂,公司企业;公司;网络科技,amap,P00091,traditional_factory,命中传统制造关键词「工厂」,0,1,0,42.3538,outer,0,43.849,37.4,49.5238,51.6015,27.4959,39.6855,hongqiao,虹桥,27.4959,far_from_centers,0.0146
